Text,Target
IS about to take my Daddy to the AirPort ,0
spent waaay too much time inside.... I miss the sunlight ,0
@QueenADay I can't ice skate outside in Floridaaaa!   LMAO.  *thinks hard*,0
Yesterday was awful and today is the big bday celebration. Im excited and nervous.. My life is insane ,0
@Kaitlyn_Ray haha lucky i wanna go shopping real bad but i probably can't anytime soon ,0
@sofuknhollywood i got tired of waiting.      so i went to sleep sorry ,0
I have chinease take away for dinner tonight oh joy. ,0
@dazzledbyrpattz more rain? Lame! Yeah I read about your dvr dying. That sucks.  technology is awesome till it decides not to work... Lol,0
goodbye @cyntata @nickbrutusgrass I SHALL MISS U BOTH     &lt;3,0
My iPod went swimming. Now it's swimming with the fishes.  rest in peace.,0
@Clareies been on the blower to my aunty (dentist nurse) and she said it might be a wisedom tooth causing all the swelling and pain ,0
to com sono.. ,0
@hendrabudhi i sont know for sure... maybe im juz bored with my work.. ,0
still sick  and is not happy with it,0
@badjedi no need.. I look the same ,0
i am hungry  and angry &gt;.&lt;  and kinda tired -_-,0
"@selahh singular for too long  HAHA i wouldn't miss jason mraz like this! umm, fb inbox ",0
waking up with my coffee....stayed up till 5am on the computer!! Tired ,0
hangover!!! ,0
@tehlike Add Quick Reference kills my VS ,0
@happylovesChuck I have no life ,0
Our wonderful guests from Hawaii just left. We will miss them ,0
i'm so bored there is nothing to do HELP ME lol i hate being bored and sitting around doin nothing ,0
"is meant to be going out but is poor  Dilemma! My party ethos says I must, my comfort zone says no? xoxo",0
i miss a lot of people ,0
no it doesn't ,0
At work and already 2 go home ,0
And its raining again today ,0
@babysteph   I'm so sorry. Lots of peaceful healing vibes for her. ,0
is so bored ,0
*  @lovesantino46 no it doesn't ,0
Wishing I could enjoy the first sunny day all week... But working instead ,0
LOL @frankierue and @ last night!!! woooooooooow. i am horrible ,0
@berryhelpful have a good weekend. Its sunday for us now ,0
@Dr0id his updates are protected so squarespace can't see em ,0
Why is it so hard to go to the gym on Saturday morning...but after huevos rancheros I gotta go ,0
"Back home now, relaxing. Been out shopping! Spent too much money though ... ",0
@GarminConnect broken again with JBOSS errors ,0
"@daisyjanie yeah, the rain has been quite awful for farmers. the cold stunts a lot of plants, too. especially tomatoes and peppers ",0
My Hudson jeans @ nordie's cause they're ripping  we'll see if I can convince him. What could I bribe him with?,0
@second_crimson: wish you were here too ,0
could've been at a casino last night ,0
i miss Lincoln already! ,0
Worst nightmare...I think my ear's infected now . And I thought I did such a good job ,0
I don't wanna get up ,0
"damn... just got quoted for nearly 2000$ of maintenance for my car  motor mounts, struts/shocks. Not cool.",0
falling sick aint no fun at all  goodnight world.,0
@jmeleigh703 Aww!  And I love the Rainbows! I really need a new pair bad but I can't find the ones I like. ,0
guess im not going to the mermaid parade.... its rainy ,0
"Good morning. The good news: I slept in. The bad news: My back is still jacked up, just not as much. ",0
im hitting my punching bag because no one wants to fight ,0
@hendrabudhi i dont know for sure... maybe im juz bored with my work.. ,0
WOW! Finally was able to download OS 3.0... What new things should i be excited about?? (no MMS  ),0
mmm cheerwine...I bet it won't be in New Jersey ,0
Geeze. How did jim fall in love with such a horrible fat cow?   ,0
"@Makkya Don't think, just do it! :-P &lt;-- pinche #idslexia ",0
@K_Meyer I always wanted to try Dozen's but they never had Chocolate/Chocolate when I went ,0
My stomach still hurts  Maybe I can sleep it off,0
i want to shake these old feelings away.  nights world,0
@TheophilusL it's summer every other day or so here in L.A... haha ,0
@amy_doyle exactally ,0
wishes she could see ABT's Romeo + Juliet ,0
"i have had heart burn all day , thats not normal for a 14 year old ",0
@batgirl2285 don't get blowd up ,0
@maaricela hahahahah  nothing ugh my eye is all watery  and i dont know why :\ soo whats up with you?,0
People are tweeting advice on how to combat tear gas in Iran.    #iranelection,0
"can't go 2 the anberlin show 2nite, tickets sold out before doc gave approval. ",0
Woke up with lots of wisdom teeth drama..Gotta get these things removed soon. ,0
@tom_teel Not yet dude... Gonna have to buy a new one ,0
everytime i fall asleep my dreams are haunted ,0
I don't like that strangers take away my grandparents furniture. It's real now. House is empty. They're really gone ,0
I hate getting to a point in packing where you dont know what to do next.  Also running out of boxes sucks... time to go buy some ,0
shares http://tinyurl.com/dhxl3g anyone?  http://plurk.com/p/12i3qm,0
leaving to work at the camp for 7 weeks  aughhh,0
"Saturday night, and i'm broke ",0
Had to pull out of Aberdeen gig tonight. Gutting.  #illnessfail,0
ouch. 9 hours working in retail standing on your feet? that doesn't seem fun. arg . . . ,0
@mfowmes oh wow sounds awesome bet you can't wait  sorry to hear about your mum - I lost my mum to cancer nearly 8 years ago  *hugs* x,0
is having an ugly day today ,0
"@fastcompany I would love to have stopped by the Fast Company office, but I am in Chicago! ",0
times like these I wish I had a bf to take care of me. ,0
@lolankford oh no! I just left the trunk show...not gonna see you  it's still going til 3.,0
"is ready for another crazy day! I just wish the rain would go away, I do not think my head can take much more! ",0
GRACE WAKE UP ,0
I miss you too @screamnpink ,0
I Need To Talk To Shauna... ,0
Blergh. Working out is not a great thing to do on an empty stomach after ~4 hrs sleep. ,0
Feel hurt ... I dont want to stop but i guess i have to .. God its going to be so hard on me ,0
is trying to get Flash CS4 to work the way I want it to. Motion detection does not work and I don't know how to make Adobe AIR apps. ,0
@keiosu It takes less time to rent a car and drive here. ,0
rainy day ,0
I packed poorly for this trip  Gonna head over to the mall and look for a sweatshirt.,0
Al just told me to keep my questions and comments to myself ,0
@DonnieWahlberg u in my country yet? too bad ur soooooo faaaarr away! ,0
My eyes burn ,0
@chrys73 evrything that i dont spend time w/she that i dont do anything that i dont care bout her that i spend more time w/u all and more ,0
@mmmeg I know! I know! I want one so bad  but there is a possibiltty my connection is delayed....hmmm...,0
@applenutbutter WHY NOT? ,0
@claire_elise1 awww poor baby! ,0
"Came out of the bath, now i need to revise for Maths! ",0
"Got me some nice fillet steaks from Dave Giles, but no pork joints or chicken left ",0
se me rompio la teleeeeeee nooooooo mi sony  why?!?!?!?!??!?!?!?!?!?!,0
damn if i open cydia on my ipod 1th gen it crash ! ,0
"@mz_icandy  *sniff sniff* ok.. I'm good tho, just chillin.. its hot here! What you doin?",0
I really want to go to west virginia now!! I miss my fam ,0
with tor da whore. phones still being homo ,0
"im so sick. ive lost 10 pounds. :/ IM STARVING. gosh, my stomach hurts. ",0
What the hell krissy. Meeting at 12:30 means I leave at 1:00 when you are not here.   hope everything is ok.,0
@mandyloucon HOW do I get off there??? ,0
Keep poking myself in the eye with eyeliner pencil! Ill be blind before tonight ,0
My phone is broken!! ,0
"shower time and then watch sub videos, then work.  I really need to film a video maybe tomm i dont get a day off till wed tho ",0
still sobbing from 'becoming jane'  Sad times.,0
@jackyjack84 OH HOLEY SHIT u are online!!! I am stoning in front of my pc............................................ i can't go on msn!! ,0
Does not like being inlove with someone who doesn't love me back ,0
No response from someone yet. Maybe I just suck at life? Well..let the bad moods begin. ,0
no practice.  aw. haha. booking all day today.,0
@anantg I had no Internet! ,0
Just gave CSU a whole lot of $$$  (via @C_Sandiego)&lt;&lt;&lt; I'm glad my money giving days are over ..,0
#twhirl is suffering epic lag ,0
ok wait...i feel like i'm getting jipped out of summer  where's the sunny weather gone?,0
Getting ready for the day.  Bored enough with the same ol routine. What to do? My summers used to center on beach  I miss it.,0
Just ate a Costo muffin and now my hand smells like play-do... ,0
Doesn't want to go to court this week or ever for that matter!  http://myloc.me/4FqD,0
"@dinarickman at least you're not just rubbish at scrabble. I could be alright, but not within a socially acceptable time limit ",0
@ms_goddess I wanna be lucky 2! ,0
@dinkybabe owww..really??well thanks a lot dears..i might to try u'r suggestion...yep it's very awefull just can't stand it! ,0
;; Hangouts w/Princess on her last daay in...Canada ,0
"@psunshine this rain really does suck I'm going to the city tonight, but I'm starting to have a change of plans.  http://myloc.me/4FqI",0
@mcflyharry Harry!!! I Need one hi too!!! Please!!! Or one hi for Rio de Janeiro! Please! I miss you... ,0
@iamsteve0009 but ,0
@katiekatiek lucky for some ;p never been birmingham  hardly been north act only leeds(Y),0
I want to go shopping so bad but have to wait for the check onFriday. ,0
@AlliWorthington Oh that poor thing!!! I did that once on all my fingers. That really hurts.  I'll be thinking of you guys!,0
last night i had a dream that i had chick-fil-a. kinda realllllly wish i had some now ,0
feel like blah. can't wait to go home in an hour and a half ,0
@MicheleBell21 He just does so much for me and he's leaving to CA for a new job and my heart breaks everytime I think about it. ,0
OH NO!!! i just broke a chair!!! i guess it's now confirmed: i AM heavy ,0
Just landed in NYC! Missing the sunny weather and home already ,0
Very hot @ beach in SC. No seabreeze today.  ,0
MY phone doesn't let me dm ,0
is really sad Ryan left... ,0
"Caught the chicken pox. Goodbye outdoors, hello textbooks. ",0
I hate being hungry ,0
@L_A_LuvErGyrL sup fool...no wendover for us 2nite ,0
Saturday means laundry and cleaning. Hope to get some research in today/tonight. If not I'll get it later. Too hot in house and outside ,0
Twitter won't let me change my background ,0
"Bored out my tits, watching you've been framed and eating beans.. why is everyone working / busy ",0
"it's going to rain today, bummmmer ",0
Sky3 has been left on and Ej has left the room and the remote out of reach ,0
 I wish I could forget ...,0
@DonorsChoose I miss Wachovia  They were my nonprofit biggest supporters. WF tells us they R not going to make up the difference...,0
Goin to see my car that some kid stole n totalled  scared to know wut it looks like ~*Allie*~,0
I don't wanna go back to Berkeley so soon  I'll miss you Home...,0
"A couple more days until I graduate. Now I have to find the perfect heels. Tisk, the joys of being a girl ",0
"ook its fixed, not too sure why they wont let me change it ",0
I'm extremely tired and want muddy buddies ,0
"@courtrex My last gf had a real beard, my family were overjoyed when I brought her to a family meal. I wanted to be a wrestler also ",0
"wow, there are still people out there who like classical piano music, although the last tweet under this subject was 11 hours ago ",0
niki made my cereal be all mushy ,0
"doing my nails, getting ready and going out. i wish my bf didn't have to work today  so sad",0
didnt get to swim breaststroke ,0
Unfortunately the camera lens has a scratch so it needs to go back. ,0
Car is all sparkly and clean.  I am all hot ,0
no brkfst type foods at my house... w0mpw0mp ,0
EIGHT Hour POWER CUT ,0
"couldnt sleep at all last night. i hate this. i want to know what is happening. this sucks, so bad.  ",0
back from the playa!! i'm burned  never had sunburn on my face.. it hurrrts (( but i had fun ,0
New storm firmware makes it fast at last but has also deleted all of my calendar. Restored everything except that. ,0
Ciaron evicted  halfwitt is seriously annoying noww [go charliee],0
im actually getting so sick of friends letting me down ,0
@Pinger It would have been so nice if you had sent the TextFree for life message to TextFree lite users instead of just Twitter followers ,0
@xojbloverx0 i know. f our lives ,0
Did you people all fail your Don't Feed Trolls Class? If you block them they know they got to you and they win. ,0
I fall in lovee !! L i love yoooouu! but you don't about mee ! ,0
@jchant mmm that sounds amazing!!! its been raining here for the whole week!!! ,0
My fish has a new habitat! I wish I knew his name ,0
i hate when my parents dont leave me money  wtf am i suppose to eat now..,0
@krisis I doubt I will be going to the Tweetup. I have an insanely busy week ahead of me. ,0
"@KitCh_ it got caught around my steering wheel &amp; when I pulled it out it looked like that  Im all good, how's bout you!",0
Mom wont let me get haircut today ,0
@ElmleaUK No strip clubs easily findable on the net  And the 3GS isn't here till Monday. D'oh!,0
"Going back to bed for a short bit, sux to be ill on your day off  tweet ya later",0
i had the best week of my life. i'm sad it's over. and i miss my girls. ,0
'do you feel the love? Let god in. Love jesus'. Oh no. It is a christian concert ,0
anyone have any good pixel fonts? ,0
"From what I remember, Kevin O'Neill was a pretty crappy coach when he was with the Raps &amp; now he might bring down Trojans basketball too ",0
@maxreemer what about when it's miserable inside too?  x,0
My iPhone 3.0 came speaking Dansk and won't run most programs. ,0
i dont want it to end ,0
@pmgriff Thanks for your help Doc..think I will go to minor injury unit in am..toes real hurting ,0
Goodness I am tired... Ugh lack of sleep is so bad for me.. ,0
@StephanieJ00 I thought that was the point ,0
"I want to be a dork and stay on my brand new laptop all day, not go to work for 8-9 hours fml ",0
"Spoke too soon...took someone to the doctor, and have to go back again soon. ",0
@ghettothugg2 I FELL DOWN LAST NIGHT AND TO BREAK THE FALL I SKIDDED ON MY HANDS BUT THE RIGHT HAND LOST A LAYER SO ITS STINGS REALLY BAD ,0
This is how my night last night turned out   http://twitpic.com/7ww9c,0
"Warning Graphic clip, today tehran 's massacre   http://bit.ly/fo2uk   #iranelection #iran",0
My muscles are sore ,0
"@SonaliDiaz I don't think so  If you go, could you tell her I'm so sorry I can't come becase I had to go to etobicoe! ",0
@MzDeeva  he's not worth your time if he can't be honest. boooo @ him!,0
Has a cold ,0
@n97fanatics I hope there are not too many negatives. I ordered mine yesterday! Steven Fry didn't seem to like it  But what does he know?!,0
I wanna crawl back in bed and hideout.   this is truly depressing. I could really listen to some good music that soothes the soul.,0
really wanted to go out 2night ,0
Trying to cheer up my sick daughter.  ,0
"i wanna move to pickering  there is alot of people i wanna met that live in pickereing and not in boring, smelly, by the lake ajax...",0
Is up now ,0
I don't like this guessing game ,0
Leaving Palm Springs ,0
http://twitpic.com/7wwb9 - At least she enjoyed one last night on the town ,0
"@codesurgeon I have to admit, I do. But for today I finished mine. Now it's on to work. YAY.....not. ",0
Haven't slept in days... ,0
Off to work!  CAIO  -x-,0
@allyLOVESalec she died last night ,0
my frind just left ,0
I'm stuck at work while 160 Haralson's are destroying craigslist cruisers ,0
@rachelblahh &amp; @somethingsandly i'm still up. haven't finished legal. scared out of my brains. still up? ,0
@Zesylene So I wasn't as awake as I thought lst nite....laid on the couch 4 a few mins...that was all she wrote  How r u 2day?,0
@TheBathroomGirl have a good night wish I could come ,0
Is tired from beginning to run again ,0
sounds good to me! we would go but bella is still sick ,0
The rain is boringness and depressing...no golf..no fun... ,0
My body hurts  hah,0
just woke up to rain ,0
Raining like crazy in plainview... While delivering mail ,0
"Finally inside. Orch G, 45+46. Here's hoping my usual luck doesn't hold and I end up with a short child in front of me. Woes of the short ",0
Good Morning! Loving this very light drizzle. Perfect for running! Too bad I'm stuck at work though.  maybe later...hmmmm... #fb,0
@mw55 Oh oh.....Ambrose to the back ,0
@SharnaLouise95 Awww I Go Trough The Same Thing.!!! I Dindt Get It Too ,0
@rawkinmama which one were you talking about? The quote or do you have a cold too? ,0
if you reply to someone do they have to be following you to be able to read it? i don't know how to use twitter! ,0
#squarespace don't you love me anymore?  don't you want to give me a phone?  ,0
Awah Spirited Away is such a movie. Don't you hate it when movies end suddenly with no real ending. ,0
We lost our first playoff game by 2. Had a chance to tie and turned it over. Played poorly the first 3 quarters ,0
@johnkunkel me too.  How can they not have the capabilities? That is just insane. meh!,0
Why the heckkk is it raining  watching he's just not that into you and learning a lot haha,0
Had a wonderful evening with Dad and @iamcandygirl. A perfect way to usher in Dad's birthday tomorrow. Got a really tough week ahead. ,0
hating guys right now. ,0
im still sitting at home  we are about to goto the park i think bella could use the fresh air and matthew needs to get some energy out!,0
Apparently today I am the hydrant ,0
I have a terrible cold ,0
http://twitpic.com/7wwft - AWWW. Merlin. This was my Rabbit. He Passed away a couple of years ago. ,0
http://twitpic.com/7wwg2 - My mom keeps sending me these pics! Now I miss him!!! ,0
@MobiMom I don't know if the sodium will do your tummy or possible cotton mouth any good ,0
so wet and rainy!! ,0
Headed to funeral.... ,0
I'm stuck at work while 160 Haralson's are destroying craig's cruisers ,0
civil war has begun......  #iranelection,0
Another loser: I lost the game too.  http://tinyurl.com/mcakrv,0
My Sony slept with me through the entire night! No cries or acting up... She was perfect. Im surprised she wasn't whining for her mom ,0
"ugh, i cannot find my camera charger. ",0
@2hot2handle06 you aint never lie. I was supposed 2 be going to cali in a few weeks but I can't now ,0
@KayBallard The only story she has to tell is she was never allowed to play because she was the only girl on the team. ,0
"i really need to start skydiving again. i miss myself, and i dont feel like myself when i'm not a skydiver ",0
@sophanap aww!  what summer job did you apply for?,0
It's raining as usual here ,0
"&quot;I got a caramel apple,&quot; &quot;What did you get, Charlie Brown?&quot;   &quot;I got a rock.&quot; ",0
Just cleaned out my closet! It took forever and it's still full!! ,0
"getting a headache   sitting at work waiting to see if anyone else is going to come in...knowing my luck, it'll happen at 2:55 (close @ 3)",0
Really misses her niece Amilie! Not going to see her till monday ,0
praying for my mom who's in the last hrs ,0
"Curses. My connection died when I was downstairs, and album stopped uploading. ",0
I miss @jchdz005! Hurry home babe ,0
i c u cant please anybody these days ,0
i need to get a new phone. i cant believe mine shit the bed on me last night ,0
Alkaline Trio show is in 6 hours. D'aw. I wish I was going. ,0
Good afternoon twitterers. No I didn't sleep in just been busy battling my computer for domination. Seems Mozilla FF likes to crash on me ,0
i need followers  follow me,0
just had the 1st of 2 hard goodbyes ,0
"I have been doing maths for pretty much 7 hours straight now, my brain is actually hurting ",0
lack of transport. ,0
"R.I.P. Jodie Im gonna miss you, I guess i'll have to fill your shoes and piss in Roy's beer ",0
@lattelady yessss!  Me too. Pkr's is pvt and her requests come to my email. Yuck. Lots of ick out there! ,0
"man, I wish the wifi in our house worked all the time  the apple remote app would be so useful!",0
@blondamb70 omg! that girls was soo cute! it's really sad ,0
@ alexistta Aww don't say that!  We'll find you a very very nice boy.,0
"Hm, it doesn't wanna load and I have to go  Bye!",0
"and i just attempted to speak, which resulted in a horrid coughing fit. I guess this chest death is here to stay ",0
My teeth really hurt ,0
@flower261 still with a headache ,0
"tweet tweet guys, my dog is scared of the hover (n) ",0
"@anthonyladao hey,whats up me n my fren r havin fun tryin 2 talk 2 u thomas n eric. we called eric but he didnt answer  2 bad ps WB plz ",0
"Tested out amps, pedals, drums, cymbals, you name it. Learned a lot of new stuff. And realized that I'm still not rich. ",0
"Had a late night with my bestie, so exhausted she gets to sleep and I have to work  uggh i want my bed!!",0
"Sad - decided no on the drink because I feel a raging migraine coming on,  Looking for my drugs.",0
Hates being this bored but with the hubbg and kids and can read the twilight books ......... Again ,0
", just got out of the pool, i think im sunburnt ",0
"For some reason i fell asleep at 7:30 last night, now it's 3am and i'm cycle ",0
Ugh! Another cloudy morning in san diego  http://mypict.me/4FrS,0
@spicybitch I wish the monsoon would start here in Arizona ,0
my arms have been chris brown'd ,0
"So, change of plans this weekend, no river  next weekend! This weekend we'll see the hangover and do laundry!",0
I just found out my grandma is in the hospital omg im worried n thats all i know. I cant get a hold of anyone. ,0
My mp3 just die...  ....need to buy a new one but I don`t have $,0
@SairaFaz But then I would miss Otalia goodies! ,0
hate this part ,0
Not fun to be woken up by cat attacking and eating your arm ,0
So the movies are a bust cause I can't fix this damn hair. I guess I will be chilling indoors today.  We'll hit the movies tomorrow.,0
It passes me by... ,0
@StudiiousSean ,0
@babygirlparis Paris please answer once it'll make me sooo happy  ... &lt;3.,0
Watching Morocco vs. Togo match. Adebayor is not playing in the Togolian team! ,0
@juliejarvis cant believe you didnt reply...i really am sorry about the ipod honest ,0
@drewfosho Sucks! But I won't go when it's a thousand degrees! Gotta wait till Fall ,0
My sister lost her passport...she leaves tomorrow  advice?,0
@kickassCarly aww.  do you know how?,0
Bad day ,0
"anyone else see the sun front cover, with poor peter andre crying as his mother flew over to see him for the first time since his split ",0
princess dont looooove me ,0
finally awake. time to do some homework. and my roomie's gone and im all alone. sad day ,0
Saturdays just don't feel like Saturdays when you're jobless ,0
Wtf happened to bein all sunny? Dis weather is depressing. Even worse I hav to work.   -Ely!,0
I need sleep but I can't ,0
@Layming   i was really excited  about getting it and  when i got there the was all sold out  ,0
Missin the boy. ,0
@JonnySlim I'm mad u cooked &amp; didn't send me any  lol,0
"@bkmacdaddy Glad you liked it! Controlling the heat is always an issue. If I get it hot enough for my family, it's too hot for me. ",0
"I don't win. Yeah, i'll be at home when they'll be in Paris ",0
Atl 105 under the shade of a pecan tree ,0
Downtown. Working all day. ,0
@mariamore oh hunny u shoulda known that was go take longer than 30 ,0
stupid work. no time for fun ,0
GREAT show last night. I'm gonna miss my buddy though  now on to Ago meetings &amp; job hunting!,0
I miss @bsemaj already  shite,0
just had a like 3 hour stint on zombies. Shi No Numa = 21 &amp; 20 and Vurrückt = 16. Did pretty rubbish on that one lol ,0
"Didn't get to sleep in more.  oh dang, fathers day tomorrow?! I'm tiredddd",0
kinda sad i have no clue why ,0
@wildisthewind Awesome! I haven't been to a concert in awhile. ,0
@chrys73 i know babe&amp;i thank2the gods4u all cus i really need u in this moments but i know u cant do much4me  but u listen me&amp;im thankful!,0
@kennyisamazing I wish I had the same tanacity as you   Guess I'm just too lazy... and I don't have anyone to kick my ass. LOL. XOXO,0
Boring day at home. No money so can't go anywhere ,0
#iphoneupdate my apps aren't loading! what happened???? so much for no trouble. ,0
Had sudden cravings for long john's cheese and fries ,0
@thebakhatman Aww poor you.  you can wait.,0
Guitar heroing !!! Drums are lame  vocals are lamest tho,0
just woke up.relaxing into later work!! god what a night ,0
Soggy soggy NYC today.  Will it ever stop raining here?! ,0
"@jeffleach  jeff, I look so smart as well! You would be proud, would match your tie!",0
"@lauramoorcroft  she's only just got in lad, hopefully shouldn't be long.",0
I'm having video card troubles and I can't seem to find the driver that works correctly.. ,0
@jonaskevin why can't we in germany buy your album? it comes out on 26th june...  so i have to wait another week...,0
7 more hours... its raining.... no customers.... ,0
Pissed....all I wanted was a fountain beverage from the market and they're closed ,0
helping fajah pack for england. wish i was going ,0
"@AllyPea  Ok, have fun then!",0
It seems dumb to not have a 'concede' option in #dotp multiplayer yet to count wins.  Need 1 more win for achievement but opponent quit ,0
@2LiveAndFly was planning on doing the same thing. Some of my fb peeps aren't on Twitter. Don't know if I want them to know the other me ,0
@tmsenn14 Because of the Rafa-less Wimbledon?  ,0
@TheFernMC  work and work  Nothing fun,0
"is sooooo annoyed :@, i just wish she'd leave me alone ",0
remembering mom... *am packing my bags* ,0
"I'm going to my best friend Melissa. She's going to America next week, and stays there for the whole summer  I'm gonna miss her so much!!",0
has bm tuition tmr ,0
@P0150N0U5F15H I know it's not there ,0
Also I hate reading fic by good writers because I feel so inadequate ,0
@iamnaynay So jealous ,0
Just returned 2 Kigali w/ 2 more witnesses - genocidaires  Will interview in A.M.,0
"@abbibennett oh me god  come on msn! ill send you it, it was that fununy i saved it ;D",0
Is new at Twitter &amp; has nobody to follow! ,0
@egmr86 WOW Nice.... Sadly my little brother got me banned from CSS ,0
my knee hurts ,0
@shaundiviney what y ou get up to tonightttt? jealous i wanted to paryt withuse!! it rained hre ,0
Borreed ,0
Awww man I wanna go to Esso tonight...too bad I'ma be in boring ass Athens. ,0
failed at making a star...it ended up in 2 pieces ,0
@Lisa_Veronica What would you do if you loved a person that is blinded loving the wrong person? Help me ,0
Two hour road trip to so jersey...still recovering from lastnight ,0
"I lost my iPod, there goes 8 gigs of my life ",0
@IamKostova September 1st! You better come visit... I wish LA were closer ,0
"@Adriana_Raven I made you an author on the blog in hopes that would help with your avatar showing up. So far, it isn't working ",0
@staticd00r you're shitty ,0
@MiSS__BOP lmao never seen that before ahgahaha !! how did u lose 2 followers? ,0
@PrincessMir I was followed a while back. Am I still interesting?? ,0
"restaraunt was shut :| ahahha unlucky, fast food it is then ",0
is sad cause no one will follow him ,0
too much work done.... lots to pack and now my backs' gone for a toss..... ,0
is back from southsea  yar got a top £6!! thought it said love stinks but it says loved up  lol xD and is watching Home provement ,0
"@DamarisC had my wisdom teeth out, my mouth is killing me babe ",0
Told Voice Control on my 3GS to &quot;Clean the house&quot; and it responded with &quot;Calling Ian Marsh&quot; ,0
Shit. Traffic on 64. We're not even past newport news... ,0
"Sorry, beautiful sunny weather in a string of rainy days, but I need a do nothing couch day. ",0
Just saw a dead turtle on the side of the road ,0
@CescaVonCopburg  what happened ??   please come online on svz or write me back !! ,0
@UmbrellaJay ooooh okay  whens da next raincoat party??? lmSADiTTYaooo joke joke joke.....mannn I hope u have a sense of humor...lol,0
@seismic007 yay! let it begin!!! now you can go to the lake and surf! but did you lose ur music? I did. ,0
is disappointed it isn't that warm today! ,0
wishes she was at edgefest ,0
@ThomasBledsoe  who passed?,0
@msbehavn @Jenty Not sure that I'll make it for next Sat ... I need to finish this move! ,0
"My hands are very cold!   Even its a sunny day, its freezing outside. I'm wearing panties under my pants and socks haha.",0
"Sinus infections suck especially on a Saturday.    Oh well, I'll just nap until the antibiotic kicks in!  Happy weekend!",0
@travwes I never got to see you ,0
@komplettie hard  tried vlc &amp; mpc. Got the eps from a friend and didnt vet them before hand ,0
Be back later guys. Gonna try and sleep off this headache. ,0
"Ok, leaving to Houston...last time i see my big bro before he leaves to Colorado ",0
"Air show.  Beautiful day, but mean spiders.  ",0
i should B @ the IMATs ,0
going absolutely crazy! ,0
Great. Dad puttin the internet down to even destroy the last thing that kept me company... i do so feel like run away from home ,0
Sooo tired..  But form sleepover soon  Cant wait ! Its gonna be so fun !,0
"Aah, with al the cleaning up today I completely forgot to get a fathersday present. Gonna fix a macaroni painting now I guess.... ",0
upset! thought i was finally going to get a texting plan...turns out it's only for my sisters phone line. ,0
"PHONE DOESNT WORK! &gt;:[ I cannot even call people, we were stranded last night for 4 hours!! I have no time to BLOG!! Ughhhhhhhhh. ",0
havin' a bad bad cough ,0
@nkotblorib @pekegirl809 Not doin so good.....damnit!! I didn't get to ask him   I had heard sumthin bout Vegas tho...dunno if it's true,0
@JiggablePlanets I'm cool just laid up in bed. I wanna go to a pool party ,0
@dchapman407 What's up D! I'm in love with NYC except that it's raining today   How you been?,0
i need a new phone ,0
I am overdosed on strawberries after picking far too many ,0
@ynnoj &quot;You can also display the percentage of the battery charge (iPhone 3G S only).&quot; http://is.gd/17u0D  sorry ,0
my auntie has thee best spaghetti! toobad i was beinq nice and shared with @DjSaucyP and he only left me a little bit to eat today ,0
wants to watch wimbledon now please ,0
Running jailbroken 3.0 on iPod Touch. Will be recreating my playlists for the next few hours tho ,0
At least my visual voice mail is working now. AT&amp;T never delivered the last 3 voicemails to my EDGE iPhone  #attfail,0
